IE_XML_ID;IE_NAME;IP_PROP45
4878;Пряжа Islay, альпака/шелк/полиамид, 120 м/100 г;
4852;Пряжа Yarn-Art Jeans (Джинс), хлопок/акрил, 160 м/50 г;
2809;Пряжа Drops Nord, альпака суперфайн/полиамид/шерсть высокогорной перуанской овцы, 170 м/50 г;
2823;Пряжа Drops Nepal, шерсть/альпака, 75 м/50 г;
3751;Пряжа Drops Karisma, шерсть, 100 м/50 г;
4086;Пряжа Drops Flora, шерсть/альпака, 210 м/50 г;
4218;Пряжа Drops Puna, альпака, 110 м/50 г;
4263;Пряжа Drops Lima, шерсть/альпака, 100 м/50 г;
4292;Пряжа Drops Merino Extra Fine, шерсть, 105 м/50 г;
4300;Пряжа Drops Melody, альпака/шерсть/полиамид, 140 м/50 г;
4309;Пряжа Drops Brushed Alpaca Silk, альпака, шёлк, 140 м/25 г;
4323;Пряжа Drops Big Merino, шерсть, 75 м/50 г;
4331;Пряжа Drops Air, альпака/полиамид/шерсть, 150 м/50 г;
4367;Пряжа DROPS Safran, хлопок, 160/50 г;
4605;Пряжа DROPS Belle, хлопок/вискоза/лен, 120 м/50 г;
4830;Пряжа Drops Kid Silk, мохер/шелк, 200 м/25 г;
4846;Пряжа Drops Cotton Merino, шерсть/хлопок, 110 м/50 г;
2899;Носочная пряжа Lana Grossa MEILENWEIT Comfort, шерсть/полиамид/вискоза, 400 м/100 г;
2908;Носочная пряжа Lana Grossa MEILENWEIT Eleganza, шерсть/полиамид/акрил/полиэстер, 200 м/50 г;
3031;Носочная пряжа Lana Grossa MEILENWEIT, шерсть/полиамид, 420 м/100 г;
3142;Носочная пряжа Lana Grossa MEILENWEIT LATE NIGHT, шерсть/полиамид, 200 м/50 г;
3151;Носочная пряжа Lana Grossa MEILENWEIT Glamy, шерсть/полиамид/полиэстер, 380 м/100 г;
3235;Пряжа Lana Grossa Bingo, мериносовая шерсть, 80 м/50 г;
3237;Пряжа Lana Grossa Superbingo, мериносовая шерсть, 55 м/50 г;
3239;Пряжа Lana Grossa Gap, шерсть/микрофибра/полиамид, 65 м/50 г;
3241;Пряжа Lana Grossa Cashcot, хлопок/кашемир, 130 м/50 г;
3243;Пряжа Lana Grossa Ragazza, мериносовая шерсть, 40 м/50 г;
3375;Пряжа Lana Grossa Collino, хлопок/лён/вискоза/полиэстер, 135 м/50 г;
3381;Пряжа Lana Grossa Alpaca Peru 100, альпака, 100 м/50 г;
3384;Пряжа Lana Grossa Ecopuno, хлопок/мериносовая шерсть/альпака, 215 м/50 г;
3388;Пряжа Lana Grossa Solo Lino (Linea Pura),  переработанный лён (вискоза)/лён, 120 м/50 г;
3420;Пряжа Lana Grossa OLYMPIA Alpaca, шерсть/акрил/альпака, 100 м/100 г;
3422;Пряжа Lana Grossa Solo Lino Melange (Linea Pura),  переработанный лён (вискоза)/лён, 105 м/50 г;
3427;Пряжа Lana Grossa CASHSETA (Linea Pura), модал/полиамид/шелк/кашемир, 100 м/50 г;
3718;Пряжа Lana Grossa Sades of Alpaca Silk, меринос/альпака/шелк, 680 м/200 г;
3723;Пряжа Lana Grossa Sades of Merino Cotton, хлопок/меринос, 760 м/200 г;
3741;Пряжа Lana Grossa Silkhair Pailettes, мохер/шелк/шерсть/пайетки, 155 м/25 г;
3922;Носочная пряжа Lana Grossa MEILENWEIT Fantasy, шерсть/полиамид, 420 м/100 г;
3928;Носочная пряжа Lana Grossa MEILENWEIT Colorado, шерсть/полиамид, 420 м/100 г;
3935;Носочная пряжа Lana Grossa MEILENWEIT Boots, шерсть/полиамид, 420 м/100 г;
3942;Пряжа Lana Grossa SILKHAIR Degradé, мохер/шелк, 400 м/50 г;
3956;Пряжа Lana Grossa SILKHAIR Print, мохер/шелк, 420 м/50 г;
3965;Пряжа Lana Grossa CASHSILK (Linea Pura), полиамид/бамбук/шелк/кашемир, 75 м/50 г;
3969;Пряжа Lana Grossa CASHSILK (Linea Pura), полиамид/бамбук/шелк/кашемир, 75 м/50 г;
3975;Пряжа Lana Grossa LOVELY (lala BERLIN), альпака/кашемир/меринос/полиамид, 90 м/ 50 г;
3979;Пряжа Lana Grossa FLUFFY (lala BERLIN), шерсть/полиамид/альпака/мохер, 130 м/ 50 г;
3984;Пряжа Lana Grossa LACE Merino Degradé, меринос, 400 м/ 50 г;
4259;Пряжа Lana Grossa DIVINO, хлопок/вискоза, 110 м/50 г;
4261;Пряжа Lana Grossa CLASSICO, хлопок, 110 м/50 г;
4618;Lana Grossa LACE SETA degrade, альпака/шелк, 250 м/ 50 г;
4620;Пряжа Lana Grossa Merino Air, меринос/полиамид, 130 м/ 50 г;
4624;Пряжа Lana Grossa Bingo Alpaca Multi, меринос/альпака, 70 м/ 50 г;
4626;Lana Grossa Yak Merino;
4753;Пряжа Lana Grossa ASCOT, шерсть/вискоза/альпака, 120 м/50 г;
4757;Пряжа Lana Grossa COSY, альпака/шерсть/нейлон, 105 м/50 г;
4759;Пряжа Lana Grossa SILKHAIR, мохер/шелк, 200 м/25 г;
4973;Носочная пряжа Lana Grossa MEILENWEIT Soja soft, шерсть/полиамид/вискоза (соя), 400м/100г;
4129;Пряжа Рафия Eco Andaria (hamanaka), вискоза, 80 м/40 г;
4829;Natura, шерсть/вискоза/хлопок/альпака/мохер, 100 м/50 г;
